Geonames Feature Code,Geonames Label,Wikidata URI,Wikidata label,AAT ID,AAT label,description,Geonames Feature Class,Wikipedia Code
AIRS,seaplane landing area,,,,,a place on a waterbody where floatplanes land and take off,H,H.AIRS
ANCH,anchorage,http://www.wikidata.org/entity/Q10952797,anchorage,,,an area where vessels may anchor,H,H.ANCH
BAY,bay,http://www.wikidata.org/entity/Q39594,bay,http://vocab.getty.edu/aat/300132316,bays (bodies of water),"a coastal indentation between two capes or headlands, larger than a cove but smaller than a gulf",H,H.BAY
BAYS,bays,http://www.wikidata.org/entity/Q39594,bay,http://vocab.getty.edu/aat/300132316,bays (bodies of water),"coastal indentations between two capes or headlands, larger than a cove but smaller than a gulf",H,H.BAYS
BGHT,bight(s),http://www.wikidata.org/entity/Q17018380,bight,,,an open body of water forming a slight recession in a coastline,H,H.BGHT
BNK,bank(s),http://www.wikidata.org/entity/Q468756,shore,,,"an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for most surface navigation",H,H.BNK
BNKR,stream bank,http://www.wikidata.org/entity/Q3706062,stream bank,,,a sloping margin of a stream channel which normally confines the stream to its channel on land,H,H.BNKR
BNKX,section of bank,,,,,,H,H.BNKX
BOG,bog(s),http://www.wikidata.org/entity/Q1681353,bog,,,"a wetland characterized by peat forming sphagnum moss, sedge, and other acid-water plants",H,H.BOG
CAPG,icecap,http://www.wikidata.org/entity/Q878077,ice cap,http://vocab.getty.edu/aat/300266566,ice caps,a dome-shaped mass of glacial ice covering an area of mountain summits or other high lands; smaller than an ice sheet,H,H.CAPG
CHN,channel,http://www.wikidata.org/entity/Q1210950,channel,http://vocab.getty.edu/aat/300008713,channels (water bodies),"the deepest part of a stream, bay, lagoon, or strait, through which the main current flows",H,H.CHN
CHNL,lake channel(s),http://www.wikidata.org/entity/Q55465414,lake channel,http://vocab.getty.edu/aat/300387028,lake channels,"that part of a lake having water deep enough for navigation between islands, shoals, etc.",H,H.CHNL
CHNM,marine channel,http://www.wikidata.org/entity/Q55465477,marine channel,http://vocab.getty.edu/aat/300387026,marine channels,that part of a body of water deep enough for navigation through an area otherwise not suitable,H,H.CHNM
CHNN,navigation channel,http://www.wikidata.org/entity/Q41982239,navigation channel,http://vocab.getty.edu/aat/300386965,navigation channels,a buoyed channel of sufficient depth for the safe navigation of vessels,H,H.CHNN
CNFL,confluence,http://www.wikidata.org/entity/Q723748,confluence,http://vocab.getty.edu/aat/300387046,confluences,a place where two or more streams or intermittent streams flow together,H,H.CNFL
CNL,canal,http://www.wikidata.org/entity/Q12284,canal,http://vocab.getty.edu/aat/300006075,canals (waterways),an artificial watercourse,H,H.CNL
CNLA,aqueduct,http://www.wikidata.org/entity/Q474,aqueduct,http://vocab.getty.edu/aat/300006165,aqueducts,a conduit used to carry water,H,H.CNLA
CNLB,canal bend,,,,,a conspicuously curved or bent section of a canal,H,H.CNLB
CNLD,drainage canal,http://www.wikidata.org/entity/Q28109789,drainage canal,,,an artificial waterway carrying water away from a wetland or from drainage ditches,H,H.CNLD
CNLI,irrigation canal,http://www.wikidata.org/entity/Q2935978,irrigation canal,,,a canal which serves as a main conduit for irrigation water,H,H.CNLI
CNLN,navigation canal(s),http://www.wikidata.org/entity/Q12284,canal,http://vocab.getty.edu/aat/300006075,canals (waterways),a watercourse constructed for navigation of vessels,H,H.CNLN
CNLQ,abandoned canal,,,,,,H,H.CNLQ
CNLSB,underground irrigation canal(s),http://www.wikidata.org/entity/Q55468440,underground irrigation canal,,,a gently inclined underground tunnel bringing water for irrigation from aquifers,H,H.CNLSB
CNLX,section of canal,http://www.wikidata.org/entity/Q57208181,section of a canal,,,,H,H.CNLX
COVE,cove(s),http://www.wikidata.org/entity/Q31615,cove,http://vocab.getty.edu/aat/300132317,coves (bodies of water),"a small coastal indentation, smaller than a bay",H,H.COVE
CRKT,tidal creek(s),http://www.wikidata.org/entity/Q27250,tidal creek,http://vocab.getty.edu/aat/300387084,tidal watercourses,a meandering channel in a coastal wetland subject to bi-directional tidal currents,H,H.CRKT
CRNT,current,,,,,a horizontal flow of water in a given direction with uniform velocity,H,H.CRNT
CUTF,cutoff,http://www.wikidata.org/entity/Q61455616,cutoff channel,,,a channel formed as a result of a stream cutting through a meander neck,H,H.CUTF
DCK,dock(s),http://www.wikidata.org/entity/Q124282,dock,,,"a waterway between two piers, or cut into the land for the berthing of ships",H,H.DCK
DCKB,docking basin,,,,,a part of a harbor where ships dock,H,H.DCKB
DOMG,icecap dome,,,,,a comparatively elevated area on an icecap,H,H.DOMG
DPRG,icecap depression,,,,,a comparatively depressed area on an icecap,H,H.DPRG
DTCH,ditch,http://www.wikidata.org/entity/Q2048319,ditch,http://vocab.getty.edu/aat/300006178,ditches,a small artificial watercourse dug for draining or irrigating the land,H,H.DTCH
DTCHD,drainage ditch,http://www.wikidata.org/entity/Q2048319,ditch,http://vocab.getty.edu/aat/300006178,ditches,a ditch which serves to drain the land,H,H.DTCHD
DTCHI,irrigation ditch,http://www.wikidata.org/entity/Q2048319,ditch,http://vocab.getty.edu/aat/300006178,ditches,a ditch which serves to distribute irrigation water,H,H.DTCHI
DTCHM,ditch mouth(s),,,,,"an area where a drainage ditch enters a lagoon, lake or bay",H,H.DTCHM
ESTY,estuary,http://www.wikidata.org/entity/Q47053,estuary,http://vocab.getty.edu/aat/300266571,estuaries,a funnel-shaped stream mouth or embayment where fresh water mixes with sea water under tidal influences,H,H.ESTY
FISH,fishing area,http://www.wikidata.org/entity/Q47521850,fishing area,http://vocab.getty.edu/aat/300387251,fishing spots (sites),"a fishing ground, bank or area where fishermen go to catch fish",H,H.FISH
FJD,fjord,http://www.wikidata.org/entity/Q45776,fjord,http://vocab.getty.edu/aat/300008676,fiords,"a long, narrow, steep-walled, deep-water arm of the sea at high latitudes, usually along mountainous coasts",H,H.FJD
FJDS,fjords,http://www.wikidata.org/entity/Q45776,fjord,http://vocab.getty.edu/aat/300008676,fiords,"long, narrow, steep-walled, deep-water arms of the sea at high latitudes, usually along mountainous coasts",H,H.FJDS
FLLS,waterfall(s),http://www.wikidata.org/entity/Q34038,waterfall,http://vocab.getty.edu/aat/300006792,cascades (water features),a perpendicular or very steep descent of the water of a stream,H,H.FLLS
FLLSX,section of waterfall(s),http://www.wikidata.org/entity/Q34038,waterfall,http://vocab.getty.edu/aat/300006792,cascades (water features),,H,H.FLLSX
FLTM,mud flat(s),http://www.wikidata.org/entity/Q31796,mudflat,,,"a relatively level area of mud either between high and low tide lines, or subject to flooding",H,H.FLTM
FLTT,tidal flat(s),http://www.wikidata.org/entity/Q31796,mudflat,,,a large flat area of mud or sand attached to the shore and alternately covered and uncovered by the tide,H,H.FLTT
GLCR,glacier(s),http://www.wikidata.org/entity/Q35666,glacier,http://vocab.getty.edu/aat/300008835,glaciers (bodies of water),"a mass of ice, usually at high latitudes or high elevations, with sufficient thickness to flow away from the source area in lobes, tongues, or masses",H,H.GLCR
GULF,gulf,http://www.wikidata.org/entity/Q1322134,gulf,http://vocab.getty.edu/aat/300132315,gulfs (bodies of water),"a large recess in the coastline, larger than a bay",H,H.GULF
GYSR,geyser,http://www.wikidata.org/entity/Q83471,geyser,http://vocab.getty.edu/aat/300380167,geysers,a type of hot spring with intermittent eruptions of jets of hot water and steam,H,H.GYSR
HBR,harbor(s),http://www.wikidata.org/entity/Q283202,harbor,http://vocab.getty.edu/aat/300008678,harbors,a haven or space of deep water so sheltered by the adjacent land as to afford a safe anchorage for ships,H,H.HBR
HBRX,section of harbor,,,,,,H,H.HBRX
INLT,inlet,http://www.wikidata.org/entity/Q1172599,inlet,http://vocab.getty.edu/aat/300185707,inlets,"a narrow waterway extending into the land, or connecting a bay or lagoon with a larger body of water",H,H.INLT
INLTQ,former inlet,,,,,"an inlet which has been filled in, or blocked by deposits",H,H.INLTQ
LBED,lake bed(s),http://www.wikidata.org/entity/Q14253637,dry lake,http://vocab.getty.edu/aat/300387087,dry lakes,a dried up or drained area of a former lake,H,H.LBED
LGN,lagoon,http://www.wikidata.org/entity/Q187223,lagoon,http://vocab.getty.edu/aat/300008679,lagoons (bodies of water),"a shallow coastal waterbody, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature",H,H.LGN
LGNS,lagoons,http://www.wikidata.org/entity/Q187223,lagoon,http://vocab.getty.edu/aat/300008679,lagoons (bodies of water),"shallow coastal waterbodies, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature",H,H.LGNS
LGNX,section of lagoon,http://www.wikidata.org/entity/Q57208127,section of a lagoon,,,,H,H.LGNX
LK,lake,http://www.wikidata.org/entity/Q23397,lake,http://vocab.getty.edu/aat/300008680,lakes (bodies of water),a large inland body of standing water,H,H.LK
LKC,crater lake,http://www.wikidata.org/entity/Q204324,volcanic crater lake,http://vocab.getty.edu/aat/300266561,crater lakes,a lake in a crater or caldera,H,H.LKC
LKI,intermittent lake,http://www.wikidata.org/entity/Q10313934,intermittent lake,http://vocab.getty.edu/aat/300387086,intermittent lakes,,H,H.LKI
LKN,salt lake,http://www.wikidata.org/entity/Q188025,salt lake,http://vocab.getty.edu/aat/300266556,salt lakes,an inland body of salt water with no outlet,H,H.LKN
LKNI,intermittent salt lake,http://www.wikidata.org/entity/Q55470156,intermittent salt lake,,,,H,H.LKNI
LKO,oxbow lake,http://www.wikidata.org/entity/Q209333,oxbow lake,http://vocab.getty.edu/aat/300136982,oxbow (shape),a crescent-shaped lake commonly found adjacent to meandering streams,H,H.LKO
LKOI,intermittent oxbow lake,http://www.wikidata.org/entity/Q55470128,intermittent oxbow lake,,,,H,H.LKOI
LKS,lakes,http://www.wikidata.org/entity/Q23397,group of lakes,http://vocab.getty.edu/aat/300008680,lakes (bodies of water),large inland bodies of standing water,H,H.LKS
LKSB,underground lake,http://www.wikidata.org/entity/Q1048337,underground lake,http://vocab.getty.edu/aat/300387021,underground lakes,a standing body of water in a cave,H,H.LKSB
LKSC,crater lakes,http://www.wikidata.org/entity/Q204324,volcanic crater lake,http://vocab.getty.edu/aat/300266561,crater lakes,lakes in a crater or caldera,H,H.LKSC
LKSI,intermittent lakes,http://www.wikidata.org/entity/Q10313934,intermittent lake,http://vocab.getty.edu/aat/300387086,intermittent lakes,,H,H.LKSI
LKSN,salt lakes,http://www.wikidata.org/entity/Q188025,salt lake,http://vocab.getty.edu/aat/300266556,salt lakes,inland bodies of salt water with no outlet,H,H.LKSN
LKSNI,intermittent salt lakes,,,,,,H,H.LKSNI
LKX,section of lake,http://www.wikidata.org/entity/Q57208156,section of a lake,,,,H,H.LKX
MFGN,salt evaporation ponds,http://www.wikidata.org/entity/Q244326,salt evaporation pond,,,diked salt ponds used in the production of solar evaporated salt,H,H.MFGN
MGV,mangrove swamp,http://www.wikidata.org/entity/Q28129994,mangrove swamp,,,a tropical tidal mud flat characterized by mangrove vegetation,H,H.MGV
MOOR,moor(s),http://www.wikidata.org/entity/Q34795826,moor,,,an area of open ground overlaid with wet peaty soils,H,H.MOOR
MRSH,marsh(es),http://www.wikidata.org/entity/Q30198,marsh,http://vocab.getty.edu/aat/300008903,marshes,a wetland dominated by grass-like vegetation,H,H.MRSH
MRSHN,salt marsh,http://www.wikidata.org/entity/Q29925,salt marsh,,,"a flat area, subject to periodic salt water inundation, dominated by grassy salt-tolerant plants",H,H.MRSHN
NRWS,narrows,http://www.wikidata.org/entity/Q6966332,narrows,http://vocab.getty.edu/aat/300266563,narrows (watercourse),"a navigable narrow part of a bay, strait, river, etc.",H,H.NRWS
OCN,ocean,http://www.wikidata.org/entity/Q9430,ocean,http://vocab.getty.edu/aat/300008687,oceans,one of the major divisions of the vast expanse of salt water covering part of the earth,H,H.OCN
OVF,overfalls,,,,,an area of breaking waves caused by the meeting of currents or by waves moving against the current,H,H.OVF
PND,pond,http://www.wikidata.org/entity/Q3253281,pond,http://vocab.getty.edu/aat/300008688,ponds (water),a small standing waterbody,H,H.PND
PNDI,intermittent pond,http://www.wikidata.org/entity/Q55711375,intermittent pond,,,,H,H.PNDI
PNDN,salt pond,http://www.wikidata.org/entity/Q7846183,Tropical salt pond ecosystem,,,"a small standing body of salt water often in a marsh or swamp, usually along a seacoast",H,H.PNDN
PNDNI,intermittent salt pond(s),,,,,,H,H.PNDNI
PNDS,ponds,http://www.wikidata.org/entity/Q42055295,group of ponds,,,small standing waterbodies,H,H.PNDS
PNDSF,fishponds,http://www.wikidata.org/entity/Q1265665,fish pond,http://vocab.getty.edu/aat/300008689,fishponds,ponds or enclosures in which fish are kept or raised,H,H.PNDSF
PNDSI,intermittent ponds,,,,,,H,H.PNDSI
PNDSN,salt ponds,http://www.wikidata.org/entity/Q244326,salt evaporation pond,,,"small standing bodies of salt water often in a marsh or swamp, usually along a seacoast",H,H.PNDSN
POOL,pool(s),http://www.wikidata.org/entity/Q3253281,pond,http://vocab.getty.edu/aat/300008688,ponds (water),"a small and comparatively still, deep part of a larger body of water such as a stream or harbor; or a small body of standing water",H,H.POOL
POOLI,intermittent pool,,,,,,H,H.POOLI
RCH,reach,http://www.wikidata.org/entity/Q7300165,reach,,,a straight section of a navigable stream or channel between two bends,H,H.RCH
RDGG,icecap ridge,,,,,a linear elevation on an icecap,H,H.RDGG
RDST,roadstead,http://www.wikidata.org/entity/Q913035,roadstead,,,an open anchorage affording less protection than a harbor,H,H.RDST
RF,reef(s),http://www.wikidata.org/entity/Q184358,reef,http://vocab.getty.edu/aat/300008808,reefs,a surface-navigation hazard composed of consolidated material,H,H.RF
RFC,coral reef(s),http://www.wikidata.org/entity/Q11292,coral reef,http://vocab.getty.edu/aat/300387631,coral reefs,a surface-navigation hazard composed of coral,H,H.RFC
RFX,section of reef,http://www.wikidata.org/entity/Q184358,reef,http://vocab.getty.edu/aat/300008808,reefs,,H,H.RFX
RPDS,rapids,http://www.wikidata.org/entity/Q695793,rapids,http://vocab.getty.edu/aat/300008739,rapids,"a turbulent section of a stream associated with a steep, irregular stream bed",H,H.RPDS
RSV,reservoir(s),http://www.wikidata.org/entity/Q131681,reservoir,http://vocab.getty.edu/aat/300006191,reservoirs (water distribution structures),an artificial pond or lake,H,H.RSV
RSVI,intermittent reservoir,http://www.wikidata.org/entity/Q55470036,intermittent reservoir,,,,H,H.RSVI
RSVT,water tank,http://www.wikidata.org/entity/Q6501028,water tank,http://vocab.getty.edu/aat/300006203,water tanks,"a contained pool or tank of water at, below, or above ground level",H,H.RSVT
RVN,ravine(s),http://www.wikidata.org/entity/Q2042028,ravine,http://vocab.getty.edu/aat/300008773,ravines,"a small, narrow, deep, steep-sided stream channel, smaller than a gorge",H,H.RVN
SBKH,sabkha(s),http://www.wikidata.org/entity/Q637600,sabkha,http://vocab.getty.edu/aat/300386999,sabkhas,a salt flat or salt encrusted plain subject to periodic inundation from flooding or high tides,H,H.SBKH
SD,sound,http://www.wikidata.org/entity/Q491713,sound,http://vocab.getty.edu/aat/300266558,sounds (bodies of water),a long arm of the sea forming a channel between the mainland and an island or islands; or connecting two larger bodies of water,H,H.SD
SEA,sea,http://www.wikidata.org/entity/Q165,sea,http://vocab.getty.edu/aat/300008694,seas,a large body of salt water more or less confined by continuous land or chains of islands forming a subdivision of an ocean,H,H.SEA
SHOL,shoal(s),http://www.wikidata.org/entity/Q28337,shoal,http://vocab.getty.edu/aat/300387036,shoals (landforms),a surface-navigation hazard composed of unconsolidated material,H,H.SHOL
SILL,sill,,,,,"the low part of an underwater gap or saddle separating basins, including a similar feature at the mouth of a fjord",H,H.SILL
SPNG,spring(s),http://www.wikidata.org/entity/Q124714,spring,http://vocab.getty.edu/aat/300008697,springs (bodies of water),a place where ground water flows naturally out of the ground,H,H.SPNG
SPNS,sulphur spring(s),http://www.wikidata.org/entity/Q12054316,sulphur spring,,,a place where sulphur ground water flows naturally out of the ground,H,H.SPNS
SPNT,hot spring(s),http://www.wikidata.org/entity/Q177380,hot spring,http://vocab.getty.edu/aat/300312197,hot springs,a place where hot ground water flows naturally out of the ground,H,H.SPNT
STM,stream,http://www.wikidata.org/entity/Q4022,natural watercourse,http://vocab.getty.edu/aat/300008707,rivers,a body of running water moving to a lower level in a channel on land,H,H.STM
STMA,anabranch,http://www.wikidata.org/entity/Q661702,anabranch,http://vocab.getty.edu/aat/300266560,anabranches,a diverging branch flowing out of a main stream and rejoining it downstream,H,H.STMA
STMB,stream bend,,,,,a conspicuously curved or bent segment of a stream,H,H.STMB
STMC,canalized stream,,,,,"a stream that has been substantially ditched, diked, or straightened",H,H.STMC
STMD,distributary(-ies),http://www.wikidata.org/entity/Q591942,distributary,http://vocab.getty.edu/aat/300387055,distributaries (streams),"a branch which flows away from the main stream, as in a delta or irrigation canal",H,H.STMD
STMH,headwaters,http://www.wikidata.org/entity/Q7376362,river source,,,"the source and upper part of a stream, including the upper drainage basin",H,H.STMH
STMI,intermittent stream,http://www.wikidata.org/entity/Q55659107,intermittent natural watercourse,,,,H,H.STMI
STMIX,section of intermittent stream,,,,,,H,H.STMIX
STMM,stream mouth(s),http://www.wikidata.org/entity/Q1233637,river mouth,http://vocab.getty.edu/aat/300387057,river mouths,"a place where a stream discharges into a lagoon, lake, or the sea",H,H.STMM
STMQ,abandoned watercourse,http://www.wikidata.org/entity/Q21550332,abandoned watercourses (geographic features),http://vocab.getty.edu/aat/300387088,abandoned watercourses (geographic features),"a former stream or distributary no longer carrying flowing water, but still evident due to lakes, wetland, topographic or vegetation patterns",H,H.STMQ
STMS,streams,http://www.wikidata.org/entity/Q47521,stream,http://vocab.getty.edu/aat/300008699,streams,bodies of running water moving to a lower level in a channel on land,H,H.STMS
STMSB,lost river,http://www.wikidata.org/entity/Q6683669,Losing stream,,,"a surface stream that disappears into an underground channel, or dries up in an arid area",H,H.STMSB
STMX,section of stream,http://www.wikidata.org/entity/Q57208171,section of a natural watercourse,,,,H,H.STMX
STRT,strait,http://www.wikidata.org/entity/Q37901,strait,http://vocab.getty.edu/aat/300266559,straits,"a relatively narrow waterway, usually narrower and less extensive than a sound, connecting two larger bodies of water",H,H.STRT
SWMP,swamp,http://www.wikidata.org/entity/Q166735,swamp,http://vocab.getty.edu/aat/300008905,swamps,a wetland dominated by tree vegetation,H,H.SWMP
SYSI,irrigation system,http://www.wikidata.org/entity/Q6129871,irrigation system,http://vocab.getty.edu/aat/300055262,irrigation systems,"a network of ditches and one or more of the following elements: water supply, reservoir, canal, pump, well, drain, etc.",H,H.SYSI
TNLC,canal tunnel,http://www.wikidata.org/entity/Q5031071,canal tunnel,,,a tunnel through which a canal passes,H,H.TNLC
WAD,wadi,http://www.wikidata.org/entity/Q187971,wadi,http://vocab.getty.edu/aat/300379998,wadis,"a valley or ravine, bounded by relatively steep banks, which in the rainy season becomes a watercourse; found primarily in North Africa and the Middle East",H,H.WAD
WADB,wadi bend,,,,,a conspicuously curved or bent segment of a wadi,H,H.WADB
WADJ,wadi junction,,,,,a place where two or more wadies join,H,H.WADJ
WADM,wadi mouth,,,,,"the lower terminus of a wadi where it widens into an adjoining floodplain, depression, or waterbody",H,H.WADM
WADS,wadies,http://www.wikidata.org/entity/Q187971,wadi,http://vocab.getty.edu/aat/300379998,wadis,"valleys or ravines, bounded by relatively steep banks, which in the rainy season become watercourses; found primarily in North Africa and the Middle East",H,H.WADS
WADX,section of wadi,http://www.wikidata.org/entity/Q57208177,section of a wadi,,,,H,H.WADX
WHRL,whirlpool,,,,,"a turbulent, rotating movement of water in a stream",H,H.WHRL
WLL,well,http://www.wikidata.org/entity/Q43483,borehole,http://vocab.getty.edu/aat/300152327,water wells,"a cylindrical hole, pit, or tunnel drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface",H,H.WLL
WLLQ,abandoned well,,,,,,H,H.WLLQ
WLLS,wells,,,,,"cylindrical holes, pits, or tunnels drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface",H,H.WLLS
WTLD,wetland,http://www.wikidata.org/entity/Q170321,wetland,http://vocab.getty.edu/aat/300008899,wetlands,"an area subject to inundation, usually characterized by bog, marsh, or swamp vegetation",H,H.WTLD
WTLDI,intermittent wetland,http://www.wikidata.org/entity/Q55463449,intermittent wetland,http://vocab.getty.edu/aat/300387011,intermittent wetlands,,H,H.WTLDI
WTRC,watercourse,http://www.wikidata.org/entity/Q355304,watercourse,http://vocab.getty.edu/aat/300387091,watercourses,"a natural, well-defined channel produced by flowing water, or an artificial channel designed to carry flowing water",H,H.WTRC
WTRH,waterhole(s),http://www.wikidata.org/entity/Q3177968,vivarium,http://vocab.getty.edu/aat/300387029,waterholes,"a natural hole, hollow, or small depression that contains water, used by man and animals, especially in arid areas",H,H.WTRH
AGRC,agricultural colony,,,,,a tract of land set aside for agricultural settlement,L,L.AGRC
AMUS,amusement park,http://www.wikidata.org/entity/Q194195,amusement park,http://vocab.getty.edu/aat/300000512,amusement parks,"Amusement Park are theme parks, adventure parks offering entertainment, similar to funfairs but with a fix location",L,L.AMUS
AREA,area,,,,,a tract of land without homogeneous character or boundaries,L,L.AREA
BSND,drainage basin,http://www.wikidata.org/entity/Q166620,drainage basin,http://vocab.getty.edu/aat/300387498,drainage basins,an area drained by a stream,L,L.BSND
BSNP,petroleum basin,,,,,an area underlain by an oil-rich structural basin,L,L.BSNP
BTL,battlefield,http://www.wikidata.org/entity/Q4895508,battlefield,,,a site of a land battle of historical importance,L,L.BTL
CLG,clearing,http://www.wikidata.org/entity/Q4358873,glade,,,an area in a forest with trees removed,L,L.CLG
CMN,common,http://www.wikidata.org/entity/Q2259176,common land,http://vocab.getty.edu/aat/300008666,common land (cultural landscape),a park or pasture for community use,L,L.CMN
CNS,concession area,http://www.wikidata.org/entity/Q327209,concession,,,"a lease of land by a government for economic development, e.g., mining, forestry",L,L.CNS
COLF,coalfield,,,,,a region in which coal deposits of possible economic value occur,L,L.COLF
CONT,continent,http://www.wikidata.org/entity/Q5107,continent,http://vocab.getty.edu/aat/300128176,continents,"continent: Europe, Africa, Asia, North America, South America, Oceania, Antarctica",L,L.CONT
CST,coast,http://www.wikidata.org/entity/Q93352,coast,,,a zone of variable width straddling the shoreline,L,L.CST
CTRB,business center,http://www.wikidata.org/entity/Q203180,serviced office,,,a place where a number of businesses are located,L,L.CTRB
DEVH,housing development,http://www.wikidata.org/entity/Q5916199,housing development,http://vocab.getty.edu/aat/300000498,housing developments,a tract of land on which many houses of similar design are built according to a development plan,L,L.DEVH
FLD,field(s),,,,,an open as opposed to wooded area,L,L.FLD
FLDI,irrigated field(s),,,,,a tract of level or terraced land which is irrigated,L,L.FLDI
GASF,gasfield,http://www.wikidata.org/entity/Q1349255,natural gas field,http://vocab.getty.edu/aat/300387352,gas fields,an area containing a subterranean store of natural gas of economic value,L,L.GASF
GRAZ,grazing area,,,,,an area of grasses and shrubs used for grazing,L,L.GRAZ
GVL,gravel area,,,,,an area covered with gravel,L,L.GVL
INDS,industrial area,http://www.wikidata.org/entity/Q329683,industrial park,http://vocab.getty.edu/aat/300000411,industrial parks,an area characterized by industrial activity,L,L.INDS
LAND,arctic land,,,,,a tract of land in the Arctic,L,L.LAND
LCTY,locality,,,,,a minor area or place of unspecified or mixed character and indefinite boundaries,L,L.LCTY
MILB,military base,http://www.wikidata.org/entity/Q245016,military base,http://vocab.getty.edu/aat/300000455,military bases,"a place used by an army or other armed service for storing arms and supplies, and for accommodating and training troops, a base from which operations can be initiated",L,L.MILB
MNA,mining area,,,,,an area of mine sites where minerals and ores are extracted,L,L.MNA
MVA,maneuver area,http://www.wikidata.org/entity/Q57208460,manoeuver area,,,a tract of land where military field exercises are carried out,L,L.MVA
NVB,naval base,http://www.wikidata.org/entity/Q1324633,naval base,http://vocab.getty.edu/aat/300000467,naval bases,"an area used to store supplies, provide barracks for troops and naval personnel, a port for naval vessels, and from which operations are initiated",L,L.NVB
OAS,oasis(-es),http://www.wikidata.org/entity/Q43742,oasis,http://vocab.getty.edu/aat/300008686,oases (landscapes),an area in a desert made productive by the availability of water,L,L.OAS
OILF,oilfield,http://www.wikidata.org/entity/Q211748,oil field,http://vocab.getty.edu/aat/300000401,oil fields,an area containing a subterranean store of petroleum of economic value,L,L.OILF
PEAT,peat cutting area,,,,,an area where peat is harvested,L,L.PEAT
PRK,park,http://www.wikidata.org/entity/Q22698,park,http://vocab.getty.edu/aat/300008187,parks (public recreation areas),"an area, often of forested land, maintained as a place of beauty, or for recreation",L,L.PRK
PRT,port,http://www.wikidata.org/entity/Q44782,port,,,"a place provided with terminal and transfer facilities for loading and discharging waterborne cargo or passengers, usually located in a harbor",L,L.PRT
QCKS,quicksand,http://www.wikidata.org/entity/Q224090,quicksand,,,"an area where loose sand with water moving through it may become unstable when heavy objects are placed at the surface, causing them to sink",L,L.QCKS
RES,reserve,http://www.wikidata.org/entity/Q473972,protected area,http://vocab.getty.edu/aat/300386975,protected areas,a tract of public land reserved for future use or restricted as to use,L,L.RES
